0,20,6.152,359
1,20,7.476,417
2,20,6.61,332
3,20,5.739,310
4,20,4.596,213
0,21,6.173,362
1,21,7.496,445
2,21,6.829,360
3,21,5.842,317
4,21,4.676,221
0,22,6.198,363
1,22,7.518,448
2,22,6.991,429
3,22,5.969,321
4,22,4.692,240
0,23,6.218,363
1,23,7.535,451
2,23,7.119,440
3,23,6.057,327
4,23,4.794,243
0,24,6.243,366
1,24,7.55,476
2,24,7.175,447
3,24,6.173,341
4,24,5.084,289
0,25,6.265,368
1,25,7.572,495
2,25,7.254,447
3,25,6.391,414
4,25,5.197,295
0,26,6.287,370
1,26,7.589,511
2,26,7.3,439
3,26,6.508,429
4,26,5.211,294
0,27,6.307,370
1,27,7.602,539
2,27,7.325,444
3,27,6.609,441
4,27,6.648,408
0,28,6.328,372
1,28,7.629,539
2,28,7.346,454
3,28,6.592,407
4,28,5.991,361
0,29,6.355,374
1,29,7.656,546
2,29,7.366,476
3,29,6.901,436
4,29,6.685,454
0,30,6.712,391
1,30,7.665,604
2,30,7.396,489
3,30,7.711,501
4,30,7.136,503
0,31,7.428,446
1,31,7.694,705
2,31,7.654,599
3,31,7.715,537
4,31,7.719,542
0,32,7.719,494
1,32,7.719,894
2,32,7.719,799
3,32,7.719,841
4,32,7.719,900
0,33,7.719,536
1,33,7.719,1079
2,33,7.719,1138
3,33,7.719,1193
4,33,7.719,1209
0,34,7.719,578
1,34,7.719,1302
2,34,7.719,1404
3,34,7.719,1471
4,34,7.719,1534
0,35,7.719,623
1,35,7.719,1516
2,35,7.719,1785
3,35,7.719,1717
4,35,7.719,1871
