20.5	30.3	24	2	22.7	79.5	8.8
19.6	30.6	23.9	2.1	22.8	80.2	12.5
21.2	32.4	23.1	3.2	21.7	73.1	0.9
21.3	32.9	22.9	2.4	20.8	67.4	0.1
18.4	31.5	24.1	2.6	21.2	66.4	2.8
15.4	32.5	23.2	3.9	21.1	65.6	0
16.2	33.9	23.7	4.8	20.7	62.9	0
20.4	31.2	24.6	4.2	21.7	69.1	0
20	31.8	22.4	3.9	20.8	68.1	0
22.4	32.7	23.9	3.1	21.9	71.6	0
21.3	31.1	23.2	2.9	22.7	78	0
22.2	30.6	23.4	3	21.8	76.4	0
22.4	32.6	23.3	2.9	21.9	71.4	0
23.5	33.1	24	3.3	20.7	62	0
22.8	31.4	24.7	2.5	22.7	73.8	0
21.2	31.2	24.4	2.4	24.1	85.6	0.9
19.3	31.9	21.5	2.1	23.7	84	11.1
21.1	31.9	24.4	2.7	23.9	82.2	5.9
24	30.6	24.2	3.2	23	81.8	0
21.5	30.1	24.2	3.2	23.7	84.9	0.6
21	29.8	23.1	2.7	24.1	87.6	1.6
23.4	31.1	23.3	2.3	22.7	78.6	0
22.9	32.4	23.4	2.8	22.3	74.7	0
22.7	32.9	23.3	3.2	21.8	69.6	0
21.6	30.6	24.8	3	23.7	82.4	0
19	31.2	24	3	22.4	75.5	0
23.3	32	22.8	2.5	22.2	75.3	0
22.6	31.9	22.9	2.4	21.1	68.1	0
22.7	31.9	23.2	2	21.5	69.3	0
20.7	33.8	24.1	1.9	21.9	66.6	4
23.2	36.1	24.9	2.7	20	55.3	0.3
22.2	33.9	24.8	3.1	20.2	57.8	0
24.2	35.5	25.1	2.6	20.2	56.2	0
22.1	32.9	26	1.2	23.5	75.4	1
19.2	31.3	24.8	3.2	24.3	84.2	6.5
19.8	30.6	24.7	3.2	24.3	85.1	10
7.6	30.3	24	3.1	24.3	86.9	55.6
2.1	29.6	25.1	4.6	24.6	88.4	70.8
0.8	27.4	24.9	5.1	24.4	92.2	89.2
20	31.1	25	4.4	24.2	83.7	0
23.8	30.3	24.2	3.5	23.7	83.3	1.2
10.3	28.5	25	4.4	24.7	90.7	3.9
15.6	29.7	24.9	5.8	24.5	87	0.5
18.9	30.1	24.6	4.3	24.3	86.2	0
14.7	30.5	22.9	3.8	24.2	87.4	0.7
21.3	30.8	24.1	3.4	23.7	81.8	0
21.2	30.7	24.4	2.5	23.8	82.7	0
20.7	29.9	23.3	2.6	22.5	80.9	0.7
23	30.8	21.8	1.6	21.5	76	0
22.4	31.7	22.6	1.2	22.9	79.5	0.1
22	29.4	22.2	1	23.8	88.3	1.4
20.3	30.1	23.4	1.9	23.8	86.7	1.5
21.7	29.7	23	2.1	23.5	85	0
22	29.8	23.4	1.9	23.6	84.5	1.2
21.9	29.5	21.8	2	22.6	83.4	2.9
18.8	29.7	22.8	0.8	23	83.5	10.5
20.3	30	23.9	0.6	23.6	84.2	10.2
20.3	30.7	24.2	1.8	24	83.2	0.1
17.2	30.8	23.6	1.5	23.4	82.2	0.6
20.5	31.5	24.1	1.1	23.5	80.3	6.2
21.6	30.8	24.7	2	24.2	84.6	1.4
21.2	31	23.9	1.6	24	85.4	17.7
20.2	29.5	22.5	1.1	24.3	89.9	14.4
14.5	30	24.1	1.8	24.5	89.8	13.2
19.9	27.9	23.9	2.1	24.4	92.8	1.3
17.9	30	23.9	1.9	23.9	86	1.4
17.2	29.6	23.6	2	24.4	90	1.9
18.4	29.7	24.7	2.2	24.6	89	0
16.2	27.9	23.9	4.7	24.6	94.1	2.5
5.7	28.5	23.6	6	24.3	91.1	17.5
13.1	28.4	24	5.2	24.3	90.6	0.7
20.1	28.6	22.9	3.8	23.7	90.1	0
20.2	29.7	22.7	2.4	24.2	91.1	1.3
19.2	30.3	23.3	2.1	24.3	90.1	14.2
21	28.8	22.9	1.1	24.2	89.5	1.4
15.2	28.3	24.4	2	24.5	92.3	20.2
6.4	27.8	24.4	2	24.8	95.7	21.2
21.8	29	24.8	1.8	24.6	89.8	0.6
18.8	29.6	23.8	1	24.1	87.1	23.9
16.5	28.6	23	1.5	24.4	92	25.9
19.2	28.5	24.3	1.5	24.3	89.6	14.1
18.9	29	24.1	1.4	24.4	90.5	1.1
18.3	28.8	23.6	1.6	24.4	92.3	0.3
21.1	28.6	24.4	2.2	24.3	90.3	9.1
16.7	28.6	24.6	1.6	24.7	92	12.4
16	27.1	24.1	1.5	24.3	94.8	5.5
13.5	28.5	23.4	1.6	24.5	93.8	33.6
7.2	27.5	24.1	1.5	24.4	94	34.1
16	28.2	23.9	2.5	24	91.1	2.9
23.8	29.2	23.2	1.9	24	90.9	3.1
18.8	28.9	23	0.8	24.3	91.5	2.5
13.9	29.3	22.8	1.4	24.8	93.3	12.3
16.3	28.9	24.7	1.9	24.7	91.9	5.7
15.9	28.9	23.3	1.7	24.3	90.4	3.3
19	29.5	24.4	1.1	24.7	89.1	2.2
17.9	27.8	24	1.1	24.8	93.8	3.1
21.3	28.2	25	1.9	24.9	92.3	19.8
14.9	28.5	24.5	3	25.1	93	11.9
13.8	29.7	21.8	2.4	24.7	93.7	13.3
18.9	28.5	24.9	2	24.9	93.3	3.2
15.2	28.8	24.5	2.6	25.2	93.8	13.8
12.5	29.4	25	3.8	24.9	90.9	2.1
13	28	24.6	4.5	24.3	92.5	0.8
6.3	27.7	24.9	5	24.3	91.4	0.4
4.2	28.5	24.1	5.7	24	89	0.2
15.6	30.7	24.7	4.8	23.8	84.5	0
22	30	24.5	3.6	23.3	82.4	0
17.6	30.1	23.7	3.5	23.9	85.3	0.6
7.7	29.6	23.9	4.2	24.4	89.4	9.4
5.3	31.1	24.8	5	23.9	84.1	38.1
11.5	29.6	24.6	5.2	24	87.3	5
19	28.8	24.5	3.8	23.9	88	0
20.5	29.3	24.5	3.9	24.2	90	0
19.9	28.8	24	3.4	23.9	89.3	0
21.2	29.2	23.9	3.2	23.7	89.2	0.5
18.6	29.9	23.6	2.8	23.8	89.5	0.8
20.6	30.6	24.2	2.7	24	86.2	0.1
20	30.7	23.7	2.9	23.9	86.6	0.4
20.9	29.3	24.1	2.5	24.6	92.5	0.4
21.4	29.3	24.4	3	24.5	90.3	2.2
18	29.8	22.2	4.4	24.2	90.1	0.4
14	29.6	25	5.5	24.5	87	4.1
6.5	29.9	24.5	6.4	24.8	89.4	71.1
1.6	30.2	24.7	5.8	24.5	87.5	96.8
3.3	30.8	24.8	5.5	24.2	85.6	13.8
12.2	30.1	24.6	4.6	23.7	84.7	8.8
10.5	29.6	24.5	3.1	24	87.2	0.9
8.4	30	23.4	2.9	23.4	86	0.5
7.4	30.9	23.2	2.8	23.5	85.9	1.9
16.4	30.9	24.3	3.8	23.6	85.6	2
13.8	28.9	23.8	3.6	23.8	90.3	0.7
10.7	29.1	24.1	4.3	24	88.9	6.6
12.9	29.6	24.6	5.3	24.1	87.5	5.7
21	29.4	24.6	5.4	24.2	87.6	0
17	28.2	23.2	3	24.3	92.7	0
21.3	28.3	22.1	2.3	23.7	91.2	4.8
17.9	28.6	24	2.2	24	91.5	5.2
19.7	28.4	22.7	2.7	23.6	91.8	0
23.7	29.4	23.5	1.7	23.5	87.9	3.6
21.9	27.7	23.4	1.8	23.7	91.8	5.3
20.7	28.9	22.9	1.9	23.5	91.1	1.1
21.8	28	22.7	1	22.9	89	0.4
20.6	27.7	23.4	1.8	23.8	91.6	0.2
21.5	28.6	23.4	2.3	23.8	89.8	0.3
20.7	28.4	22.2	2.2	23.4	90.4	8.7
7.6	29	23.4	2.3	24.2	94.3	31.5
12.3	29.9	23.6	1.5	24	89.7	17.9
13.9	28.1	24.1	0.8	24.2	92.4	3.8
21.2	29.6	23.8	0.9	24	89.2	0.6
20	31.1	23.1	1.6	24	87.5	2.6
20.1	29.2	23.4	2	24	89.1	6
16.8	29.3	24.1	1.9	23.8	87.6	15
15.9	28.3	22.1	1.5	23.3	88.7	5.5
18.7	29.2	23.8	1.2	24	88.2	6.6
16.2	28.6	24.1	1.6	24.2	91.7	9.3
13.6	27	23.3	1.9	24.2	95.7	6.9
11.5	27.7	23.2	1.2	24.3	95.4	0.7
13.9	27.1	22.6	1.8	24	95.5	5.9
15.3	29.9	24.2	2	24.1	88.9	0
15.7	29.3	23.6	2.6	24.1	90.1	4.2
6	28.7	23.1	1.2	24.3	92	49.1
13.8	28.4	23.6	0.7	24.6	93.3	8.7
14.6	29.2	22.8	1.1	24.2	90.8	11.7
12.4	29.1	24.3	1	24.3	89.8	0.2
17.7	30.6	23.2	1.7	24.1	88.9	9.3
15.4	28.2	24.1	1.8	24.6	94.8	22.4
17.7	28.2	24.5	1.1	24.6	92.4	1.7
17.6	28.1	19.9	1.4	24	93.1	0
20	29.9	24	1.4	23.8	86.4	0
